Time,Temperature,Pressure,Sea.pressure,Depth
2018-09-08 12:35:10.500,18.81166111,10.04033796,-0.092163037,-0.091596741
2018-09-08 12:35:11.000,18.82023644,10.04083418,-0.09166682,-0.091103573
2018-09-08 12:35:11.500,18.8273289,10.04190894,-0.090592057,-0.090035414
2018-09-08 12:35:12.000,18.82950728,10.04257056,-0.08993044,-0.089377862
2018-09-08 12:35:12.500,18.82891795,10.04281982,-0.089681175,-0.089130129
2018-09-08 12:35:13.000,18.82753411,10.04348178,-0.089019225,-0.088472246
2018-09-08 12:35:13.500,18.82565043,10.0424904,-0.090010599,-0.089457528
2018-09-08 12:35:14.000,18.82397726,10.04174839,-0.090752613,-0.090194983
2018-09-08 12:35:14.500,18.82120977,10.04158403,-0.090916968,-0.090358329
2018-09-08 12:35:15.000,18.82016278,10.0410884,-0.0914126,-0.090850915
2018-09-08 12:35:15.500,18.8191842,10.04389807,-0.088602929,-0.088058508
2018-09-08 12:35:16.000,18.81881592,10.04265982,-0.089841176,-0.089289147
2018-09-08 12:35:16.500,18.81868965,10.0414217,-0.091079297,-0.09051966
2018-09-08 12:35:17.000,18.8181425,10.04051308,-0.091987916,-0.091422695
2018-09-08 12:35:17.500,18.81755852,10.0413399,-0.091161103,-0.090600963
2018-09-08 12:35:18.000,18.81708503,10.03886223,-0.09363877,-0.093063406
2018-09-08 12:35:18.500,18.81656419,10.04175531,-0.090745694,-0.090188106
2018-09-08 12:35:19.000,18.81550674,10.04225154,-0.09024946,-0.089694922
2018-09-08 12:35:19.500,18.80680043,10.04101271,-0.091488294,-0.090926144
2018-09-08 12:35:20.000,18.80135093,10.03812224,-0.094378758,-0.093798847
2018-09-08 12:35:20.500,18.79743764,10.03969313,-0.092807872,-0.092237614
2018-09-08 12:35:21.000,18.79327734,10.03927944,-0.093221556,-0.092648756
2018-09-08 12:35:21.500,18.78891217,10.04052051,-0.09198049,-0.091415315
2018-09-08 12:35:22.000,18.78644569,10.03886874,-0.093632263,-0.093056939
2018-09-08 12:35:22.500,18.77863658,10.04052154,-0.09197946,-0.091414292
2018-09-08 12:35:23.000,18.77146445,10.04068897,-0.091812033,-0.091247894
2018-09-08 12:35:23.500,18.7665064,10.04126705,-0.091233946,-0.090673359
